match;facit_hemmalag;facit_bortalag;facit_hemmamal;facit_bortamal;facit_extra;facit_extra_vinnare
1;Turkiet;Italien;NA;NA;NA;NA
2;Wales;Schweiz;NA;NA;NA;NA
3;Danmark;Finland;NA;NA;NA;NA
4;Belgien;Ryssland;NA;NA;NA;NA
5;Österrike;Makedonien;NA;NA;NA;NA
6;Holland;Ukraina;NA;NA;NA;NA
7;England;Kroatien;NA;NA;NA;NA
8;Skottland;Tjeckien;NA;NA;NA;NA
9;Polen;Slovakien;NA;NA;NA;NA
10;Spanien;Sverige;NA;NA;NA;NA
11;Frankrike;Tyskland;NA;NA;NA;NA
12;Ungern;Portugal;NA;NA;NA;NA
13;Turkiet;Wales;NA;NA;NA;NA
14;Italien;Schweiz;NA;NA;NA;NA
15;Finland;Ryssland;NA;NA;NA;NA
16;Danmark;Belgien;NA;NA;NA;NA
17;Ukraina;Makedonien;NA;NA;NA;NA
18;Holland;Österrike;NA;NA;NA;NA
19;Kroatien;Tjeckien;NA;NA;NA;NA
20;England;Skottland;NA;NA;NA;NA
21;Sverige;Slovakien;NA;NA;NA;NA
22;Spanien;Polen;NA;NA;NA;NA
23;Ungern;Frankrike;NA;NA;NA;NA
24;Portugal;Tyskland;NA;NA;NA;NA
25;Italien;Wales;NA;NA;NA;NA
26;Schweiz;Turkiet;NA;NA;NA;NA
27;Finland;Belgien;NA;NA;NA;NA
28;Ryssland;Danmark;NA;NA;NA;NA
29;Makedonien;Holland;NA;NA;NA;NA
30;Ukraina;Österrike;NA;NA;NA;NA
31;Kroatien;Skottland;NA;NA;NA;NA
32;Tjeckien;England;NA;NA;NA;NA
33;Slovakien;Spanien;NA;NA;NA;NA
34;Sverige;Polen;NA;NA;NA;NA
35;Portugal;Frankrike;NA;NA;NA;NA
36;Tyskland;Ungern;NA;NA;NA;NA
